task_id,department,task,latitude,longitude,start_time,end_time,inventory_used,inventory_count,task_type,task_status,task_description,optimization_suggestion,similar_tasks
22,Education,Meeting,-14.539515,30.122024,12-04-2024 14:40,12-04-2024 20:40,Whiteboard,4,Administrative,Completed,Maintenance of office equipment,Reschedule task 5,"[5, 10, 15]"
23,Transport,Report,21.808666,22.677712,04-11-2023 04:42,04-11-2023 06:42,Laptop,9,Maintenance,Planned,Maintenance of office equipment,None,[12]
24,Health,Maintenance,-38.70227,-22.253554,12-08-2024 11:33,12-08-2024 16:33,Scanner,9,Construction,Planned,Presentation preparation for stakeholders,None,"[22, 4]"
25,Transport,Maintenance,-69.222839,-141.467048,04-12-2023 02:14,04-12-2023 05:14,Whiteboard,5,Report,Completed,Maintenance of office equipment,Reallocate resources,[22]
26,Transport,Presentation,-2.064267,145.921137,06-07-2024 13:41,06-07-2024 14:41,Laptop,7,Administrative,Completed,Meeting to discuss quarterly budget,Reallocate resources,"[25, 5]"
27,Agriculture,Training,43.421564,18.604952,05-08-2024 13:49,05-08-2024 20:49,Scanner,1,Construction,Completed,Training on new software,None,[]
28,Transport,Presentation,9.454517,-25.276783,22-01-2024 13:38,22-01-2024 14:38,Whiteboard,6,Construction,Ongoing,Training on new software,Merge with task 22,[22]
29,Education,Training,76.637488,-94.77456,21-06-2024 06:15,21-06-2024 09:15,Projector,7,Construction,Completed,Maintenance of office equipment,None,"[26, 22, 28]"
30,Health,Maintenance,-61.344388,72.460148,22-07-2024 15:03,22-07-2024 22:03,Laptop,8,Maintenance,Completed,Report generation for annual review,None,"[10, 27]"
31,Transport,Training,-85.740402,-110.473276,04-12-2023 06:30,04-12-2023 12:30,Whiteboard,2,Administrative,Ongoing,Presentation preparation for stakeholders,Reschedule task 22,"[22, 27, 18]"
32,Education,Maintenance,-57.857793,166.512354,26-12-2023 18:13,26-12-2023 23:13,Laptop,2,Report,Ongoing,Maintenance of office equipment,None,"[14, 20]"
33,Finance,Report,71.910852,-111.571641,21-05-2024 02:12,21-05-2024 03:12,Printer,1,Report,Planned,Training on new software,None,"[28, 5]"
34,Transport,Presentation,-33.495184,125.285501,09-04-2024 01:29,09-04-2024 06:29,Scanner,5,Training,Ongoing,Report generation for annual review,Reschedule task 13,"[9, 13]"
35,Agriculture,Presentation,12.438946,-33.812939,21-04-2024 14:22,21-04-2024 15:22,Whiteboard,5,Maintenance,Ongoing,Presentation preparation for stakeholders,Reschedule task 30,"[30, 29]"
36,Finance,Report,52.872372,165.539521,28-11-2023 12:16,28-11-2023 15:16,Laptop,5,Report,Planned,Presentation preparation for stakeholders,Reallocate resources,"[6, 16]"
37,Agriculture,Training,-63.476287,-163.363061,24-08-2024 22:56,25-08-2024 06:56,Scanner,2,Training,Ongoing,Presentation preparation for stakeholders,Reschedule task 25,[25]
38,Transport,Meeting,70.678769,129.758604,10-09-2024 00:27,10-09-2024 02:27,Printer,4,Maintenance,Planned,Presentation preparation for stakeholders,None,"[4, 36, 16]"
39,Agriculture,Report,-65.998961,-12.728435,06-01-2024 01:58,06-01-2024 07:58,Printer,10,Report,Ongoing,Presentation preparation for stakeholders,Merge with task 11,"[11, 31, 29]"
40,Finance,Presentation,-2.772537,-93.871489,28-09-2023 07:23,28-09-2023 15:23,Laptop,5,Maintenance,Ongoing,Maintenance of office equipment,Merge with task 35,"[35, 6]"
41,Agriculture,Training,37.155446,-156.877614,19-08-2024 20:09,20-08-2024 03:09,Whiteboard,9,Training,Ongoing,Meeting to discuss quarterly budget,Reschedule task 27,[27]
42,Transport,Report,-4.143648,159.386997,25-07-2024 20:26,26-07-2024 01:26,Printer,7,Report,Planned,Presentation preparation for stakeholders,Merge with task 32,[32]
43,Health,Meeting,-20.005703,60.794503,02-01-2024 11:42,02-01-2024 18:42,Projector,8,Maintenance,Planned,Presentation preparation for stakeholders,None,[]
44,Transport,Presentation,11.590557,-170.243263,23-11-2023 02:35,23-11-2023 09:35,Projector,8,Maintenance,Completed,Maintenance of office equipment,Reschedule task 14,"[21, 14, 30]"
45,Transport,Report,-44.591124,-150.513756,21-04-2024 21:59,21-04-2024 22:59,Scanner,1,Administrative,Completed,Meeting to discuss quarterly budget,None,[]
46,Health,Training,-54.115077,-172.663194,03-01-2024 20:40,03-01-2024 23:40,Projector,3,Training,Planned,Meeting to discuss quarterly budget,Reallocate resources,[30]
47,Transport,Training,19.060685,166.944508,19-10-2023 15:49,19-10-2023 17:49,Projector,5,Construction,Planned,Meeting to discuss quarterly budget,None,"[37, 44]"
48,Health,Report,79.464708,-108.60128,01-05-2024 00:06,01-05-2024 04:06,Laptop,5,Report,Completed,Presentation preparation for stakeholders,None,[]
49,Health,Presentation,-12.891958,-46.594485,21-07-2024 22:21,22-07-2024 04:21,Laptop,7,Training,Completed,Report generation for annual review,None,"[41, 30]"
50,Finance,Training,42.083155,167.570543,03-09-2024 01:14,03-09-2024 06:14,Scanner,9,Training,Ongoing,Report generation for annual review,None,"[21, 16]"
51,Health,Maintenance,68.693613,-92.209162,15-02-2024 13:36,15-02-2024 21:36,Scanner,10,Training,Ongoing,Meeting to discuss quarterly budget,Merge with task 12,"[21, 12, 32]"
52,Finance,Maintenance,68.457596,72.42615,12-02-2024 23:45,13-02-2024 04:45,Scanner,1,Report,Completed,Meeting to discuss quarterly budget,Reschedule task 47,[47]
53,Transport,Report,-9.328581,-173.792427,15-06-2024 07:31,15-06-2024 12:31,Projector,7,Maintenance,Ongoing,Presentation preparation for stakeholders,Reallocate resources,"[31, 36]"
54,Agriculture,Presentation,-30.457567,73.027779,20-01-2024 23:06,21-01-2024 04:06,Whiteboard,5,Maintenance,Completed,Training on new software,Reallocate resources,"[8, 48]"
55,Agriculture,Training,-51.050765,-5.688509,25-06-2024 16:27,25-06-2024 21:27,Laptop,4,Administrative,Completed,Maintenance of office equipment,Merge with task 20,[20]
56,Finance,Meeting,85.373088,19.209228,06-08-2024 01:50,06-08-2024 04:50,Printer,2,Construction,Planned,Maintenance of office equipment,Merge with task 31,"[31, 29, 22]"
57,Education,Report,-69.464315,-156.476363,13-08-2024 09:43,13-08-2024 17:43,Laptop,10,Construction,Completed,Training on new software,Merge with task 16,"[6, 16]"
58,Finance,Presentation,52.333349,-98.752631,30-10-2023 17:55,31-10-2023 00:55,Printer,8,Administrative,Planned,Report generation for annual review,Merge with task 37,"[37, 40]"
59,Agriculture,Training,-42.363697,-150.772512,21-12-2023 02:46,21-12-2023 06:46,Projector,9,Construction,Completed,Meeting to discuss quarterly budget,Reschedule task 29,"[29, 45, 39]"
60,Education,Maintenance,37.252049,73.075521,15-12-2023 19:33,16-12-2023 03:33,Laptop,4,Administrative,Planned,Presentation preparation for stakeholders,Merge with task 28,[28]
61,Finance,Maintenance,58.793609,-154.292459,21-04-2024 03:07,21-04-2024 06:07,Whiteboard,10,Report,Ongoing,Report generation for annual review,None,[]
62,Education,Maintenance,35.952063,159.363447,26-07-2024 17:09,27-07-2024 01:09,Printer,2,Report,Completed,Report generation for annual review,Merge with task 39,"[39, 17]"
63,Transport,Presentation,81.14153,179.84607,11-12-2023 16:40,11-12-2023 21:40,Scanner,1,Maintenance,Ongoing,Presentation preparation for stakeholders,None,"[59, 18, 12]"
64,Finance,Report,84.429942,-10.796258,03-03-2024 11:46,03-03-2024 18:46,Whiteboard,6,Construction,Completed,Maintenance of office equipment,Reallocate resources,"[45, 32, 19]"
65,Finance,Presentation,-83.394517,-148.298475,20-02-2024 22:51,21-02-2024 03:51,Whiteboard,2,Training,Planned,Meeting to discuss quarterly budget,Reallocate resources,"[53, 7, 25]"
66,Education,Report,22.573574,93.596593,05-06-2024 21:31,06-06-2024 01:31,Whiteboard,9,Maintenance,Ongoing,Report generation for annual review,None,"[16, 4, 31]"
67,Finance,Presentation,-87.538596,-33.123353,17-03-2024 08:01,17-03-2024 12:01,Laptop,8,Construction,Planned,Training on new software,Reschedule task 66,"[38, 66, 35]"
68,Finance,Training,-7.778435,-127.928891,18-07-2024 00:53,18-07-2024 04:53,Scanner,9,Maintenance,Completed,Maintenance of office equipment,None,"[44, 65, 35]"
69,Transport,Maintenance,60.745666,28.772418,03-09-2024 13:21,03-09-2024 21:21,Projector,8,Report,Ongoing,Maintenance of office equipment,None,"[49, 59]"
70,Health,Training,12.923576,-95.917519,27-08-2024 05:00,27-08-2024 12:00,Laptop,6,Training,Planned,Report generation for annual review,Merge with task 5,"[20, 64, 5]"
71,Education,Meeting,67.354267,-21.489764,26-11-2023 13:43,26-11-2023 21:43,Laptop,3,Training,Planned,Training on new software,None,[]
72,Education,Maintenance,-29.058978,69.373655,30-10-2023 07:24,30-10-2023 09:24,Whiteboard,9,Training,Ongoing,Report generation for annual review,None,[]
73,Education,Meeting,-47.741356,66.383847,21-02-2024 08:56,21-02-2024 13:56,Projector,2,Training,Completed,Meeting to discuss quarterly budget,Merge with task 22,"[22, 39, 4]"
74,Transport,Maintenance,-22.528604,-127.594874,05-09-2024 18:09,06-09-2024 01:09,Scanner,3,Maintenance,Completed,Meeting to discuss quarterly budget,Merge with task 19,"[31, 64, 19]"
75,Education,Report,-44.041193,-176.616925,11-03-2024 05:28,11-03-2024 13:28,Whiteboard,9,Maintenance,Completed,Report generation for annual review,Reallocate resources,"[39, 55]"
76,Finance,Maintenance,-54.14094,-41.51043,20-12-2023 17:26,21-12-2023 01:26,Laptop,4,Training,Planned,Maintenance of office equipment,None,"[38, 3]"
77,Transport,Maintenance,-88.542366,131.424263,01-01-2024 05:18,01-01-2024 06:18,Scanner,8,Administrative,Completed,Presentation preparation for stakeholders,Reallocate resources,"[29, 25]"
78,Education,Meeting,72.612667,52.682619,09-12-2023 18:41,09-12-2023 23:41,Printer,1,Report,Ongoing,Training on new software,None,[]
79,Agriculture,Maintenance,44.546556,-116.769575,07-08-2024 19:19,07-08-2024 22:19,Scanner,6,Report,Planned,Maintenance of office equipment,None,[33]
80,Education,Maintenance,44.380683,-58.062509,19-06-2024 08:43,19-06-2024 10:43,Printer,2,Maintenance,Completed,Report generation for annual review,Merge with task 12,"[12, 51]"
81,Transport,Maintenance,31.109109,62.042687,17-04-2024 01:21,17-04-2024 08:21,Whiteboard,2,Maintenance,Ongoing,Meeting to discuss quarterly budget,Reallocate resources,"[79, 29]"
82,Finance,Maintenance,26.8631,-137.996663,02-04-2024 08:37,02-04-2024 09:37,Laptop,5,Training,Completed,Meeting to discuss quarterly budget,Merge with task 69,[69]
83,Health,Presentation,-14.557184,87.216845,03-09-2024 13:37,03-09-2024 16:37,Printer,2,Training,Planned,Report generation for annual review,Merge with task 48,"[5, 48]"
84,Health,Maintenance,-72.116168,66.844896,14-08-2024 00:40,14-08-2024 06:40,Laptop,7,Administrative,Completed,Meeting to discuss quarterly budget,Reallocate resources,"[12, 28, 83]"
85,Health,Meeting,51.623026,-92.315197,08-04-2024 21:51,09-04-2024 00:51,Scanner,4,Construction,Planned,Training on new software,Reschedule task 30,[30]
86,Health,Meeting,-40.090528,174.250127,29-09-2023 20:51,29-09-2023 23:51,Scanner,5,Maintenance,Completed,Meeting to discuss quarterly budget,Reschedule task 2,[2]
87,Education,Maintenance,-87.159405,-84.467697,22-05-2024 21:58,23-05-2024 00:58,Printer,9,Construction,Planned,Meeting to discuss quarterly budget,Reallocate resources,"[58, 47, 66]"
88,Transport,Presentation,-50.121044,41.438461,10-07-2024 21:19,11-07-2024 02:19,Printer,1,Construction,Ongoing,Report generation for annual review,Merge with task 14,"[14, 63, 57]"
89,Transport,Presentation,-63.299911,-134.571028,08-02-2024 00:55,08-02-2024 06:55,Printer,10,Report,Ongoing,Report generation for annual review,Reallocate resources,"[13, 15, 84]"
90,Agriculture,Training,-12.587411,139.712768,25-06-2024 21:52,26-06-2024 04:52,Whiteboard,8,Training,Ongoing,Meeting to discuss quarterly budget,Reallocate resources,"[55, 41]"
91,Transport,Training,33.627786,-9.263561,06-12-2023 08:25,06-12-2023 10:25,Laptop,2,Training,Completed,Maintenance of office equipment,Merge with task 72,[72]
92,Health,Report,-26.352346,59.522587,02-10-2023 01:01,02-10-2023 08:01,Laptop,5,Report,Ongoing,Maintenance of office equipment,None,[]
93,Health,Presentation,-51.707015,56.425069,22-09-2023 21:24,23-09-2023 01:24,Laptop,6,Report,Ongoing,Meeting to discuss quarterly budget,None,"[74, 29]"
94,Agriculture,Presentation,20.44319,51.371699,03-08-2024 19:12,03-08-2024 20:12,Scanner,5,Construction,Completed,Maintenance of office equipment,Merge with task 44,"[44, 45]"
95,Transport,Report,-77.474624,86.748861,22-09-2023 17:57,22-09-2023 18:57,Laptop,9,Maintenance,Ongoing,Report generation for annual review,Reschedule task 21,"[44, 21, 48]"
96,Agriculture,Presentation,-74.707733,-161.060822,05-01-2024 23:47,06-01-2024 02:47,Scanner,1,Construction,Ongoing,Report generation for annual review,Reschedule task 63,"[63, 78, 57]"
97,Education,Meeting,-27.868886,-140.079682,28-06-2024 02:08,28-06-2024 10:08,Scanner,5,Construction,Completed,Report generation for annual review,None,[]
98,Transport,Training,-35.744515,-103.955767,12-07-2024 08:15,12-07-2024 11:15,Whiteboard,5,Administrative,Completed,Meeting to discuss quarterly budget,Merge with task 23,"[96, 56, 23]"
99,Health,Presentation,10.570242,60.497342,01-05-2024 23:34,02-05-2024 05:34,Laptop,7,Construction,Ongoing,Meeting to discuss quarterly budget,Reschedule task 41,"[10, 41, 74]"
100,Agriculture,Maintenance,-69.268793,-172.491639,10-11-2023 22:20,11-11-2023 04:20,Projector,10,Training,Planned,Maintenance of office equipment,None,[]
101,Health,Meeting,-46.203035,31.993664,14-12-2023 03:21,14-12-2023 05:21,Printer,5,Administrative,Completed,Maintenance of office equipment,Reallocate resources,[10]
102,Education,Presentation,1.791371,146.132183,08-04-2024 22:55,09-04-2024 04:55,Whiteboard,3,Maintenance,Completed,Training on new software,Reallocate resources,"[26, 23]"
103,Health,Training,81.232585,46.061558,29-10-2023 00:57,29-10-2023 08:57,Scanner,10,Training,Planned,Presentation preparation for stakeholders,Merge with task 81,"[81, 41]"
104,Health,Report,23.649322,106.678684,07-02-2024 23:37,08-02-2024 00:37,Whiteboard,9,Construction,Ongoing,Report generation for annual review,None,"[5, 8, 48]"
105,Transport,Meeting,20.70151,2.544414,15-03-2024 21:43,16-03-2024 05:43,Scanner,9,Construction,Ongoing,Presentation preparation for stakeholders,Reallocate resources,[42]
106,Transport,Training,82.390025,-17.811681,09-06-2024 00:40,09-06-2024 06:40,Laptop,9,Maintenance,Completed,Training on new software,Reallocate resources,"[57, 68, 67]"
107,Education,Maintenance,75.228622,-40.530039,08-09-2024 17:41,08-09-2024 23:41,Scanner,1,Administrative,Completed,Maintenance of office equipment,None,[]
108,Finance,Report,-38.853545,80.544116,23-02-2024 04:37,23-02-2024 07:37,Whiteboard,2,Report,Planned,Training on new software,Reallocate resources,"[40, 84]"
109,Health,Training,17.107421,157.680792,22-01-2024 08:40,22-01-2024 13:40,Scanner,7,Administrative,Completed,Presentation preparation for stakeholders,None,[]
110,Agriculture,Presentation,-24.870943,-49.464839,25-07-2024 20:24,25-07-2024 23:24,Projector,6,Training,Completed,Training on new software,Merge with task 20,[20]
111,Education,Presentation,60.321569,138.12558,08-08-2024 10:47,08-08-2024 11:47,Whiteboard,10,Maintenance,Planned,Report generation for annual review,Merge with task 21,[21]
112,Health,Meeting,-16.04545,63.490652,24-07-2024 08:05,24-07-2024 12:05,Printer,10,Administrative,Planned,Report generation for annual review,Merge with task 69,[69]
113,Agriculture,Maintenance,32.095229,25.350982,21-01-2024 15:25,21-01-2024 23:25,Printer,5,Training,Planned,Presentation preparation for stakeholders,None,"[21, 105, 26]"
114,Health,Maintenance,-80.607635,-6.987364,25-06-2024 09:19,25-06-2024 15:19,Scanner,2,Report,Completed,Maintenance of office equipment,None,[]
115,Agriculture,Maintenance,-9.12254,4.806986,19-12-2023 23:33,20-12-2023 06:33,Laptop,4,Training,Ongoing,Meeting to discuss quarterly budget,Reschedule task 51,"[7, 51, 65]"
116,Finance,Maintenance,-49.583023,-65.273445,23-02-2024 09:23,23-02-2024 11:23,Whiteboard,3,Maintenance,Completed,Maintenance of office equipment,None,"[90, 107, 18]"
117,Agriculture,Report,20.762686,146.108696,08-04-2024 18:21,08-04-2024 19:21,Whiteboard,4,Maintenance,Planned,Presentation preparation for stakeholders,Merge with task 15,"[15, 100, 37]"
118,Education,Training,-14.431402,105.803679,26-02-2024 01:07,26-02-2024 09:07,Laptop,2,Training,Planned,Presentation preparation for stakeholders,None,[]
119,Education,Presentation,-46.451136,-128.312338,02-03-2024 16:46,02-03-2024 23:46,Laptop,10,Administrative,Completed,Presentation preparation for stakeholders,Reallocate resources,"[24, 86, 11]"
120,Transport,Meeting,81.612662,15.869506,19-09-2023 10:45,19-09-2023 11:45,Printer,8,Construction,Planned,Report generation for annual review,Merge with task 33,"[33, 96]"
121,Health,Training,41.929384,46.172506,28-10-2023 13:23,28-10-2023 19:23,Projector,1,Administrative,Planned,Maintenance of office equipment,None,[107]
122,Education,Report,23.712453,112.139165,11-09-2024 20:28,11-09-2024 22:28,Printer,1,Administrative,Completed,Meeting to discuss quarterly budget,Merge with task 114,[114]
123,Health,Report,88.042086,15.491051,05-12-2023 14:51,05-12-2023 19:51,Laptop,4,Administrative,Ongoing,Meeting to discuss quarterly budget,None,"[35, 16]"
124,Education,Report,43.795387,142.069498,17-11-2023 22:50,18-11-2023 05:50,Whiteboard,3,Training,Planned,Report generation for annual review,Reallocate resources,"[119, 103]"
125,Transport,Report,-75.793139,36.883188,13-01-2024 15:33,13-01-2024 18:33,Scanner,5,Administrative,Completed,Meeting to discuss quarterly budget,Reschedule task 38,"[85, 38]"
126,Transport,Report,-26.721543,-164.752141,16-12-2023 14:46,16-12-2023 20:46,Scanner,7,Administrative,Planned,Meeting to discuss quarterly budget,None,[]
127,Finance,Maintenance,2.355484,89.963274,07-10-2023 10:07,07-10-2023 13:07,Laptop,3,Report,Planned,Report generation for annual review,None,[]
128,Education,Meeting,-47.520832,52.258635,01-08-2024 07:22,01-08-2024 13:22,Printer,10,Construction,Planned,Training on new software,None,"[122, 48, 57]"
129,Agriculture,Training,5.302779,-36.707743,16-11-2023 19:43,17-11-2023 00:43,Projector,2,Construction,Planned,Training on new software,None,"[100, 31, 68]"
130,Health,Training,89.34572,-77.192324,05-05-2024 09:51,05-05-2024 17:51,Projector,2,Maintenance,Completed,Report generation for annual review,None,[114]
131,Agriculture,Maintenance,37.717288,17.998973,22-06-2024 01:10,22-06-2024 06:10,Whiteboard,3,Maintenance,Ongoing,Presentation preparation for stakeholders,None,[32]
132,Health,Training,52.267151,-170.53775,23-09-2023 15:24,23-09-2023 21:24,Printer,9,Maintenance,Planned,Meeting to discuss quarterly budget,None,[]
133,Health,Report,89.927108,78.793078,13-02-2024 16:23,13-02-2024 23:23,Printer,10,Construction,Completed,Maintenance of office equipment,None,[]
134,Education,Report,32.419618,-55.974679,14-02-2024 18:41,14-02-2024 21:41,Projector,7,Report,Completed,Meeting to discuss quarterly budget,Merge with task 78,[78]
135,Education,Maintenance,80.546965,6.803206,29-02-2024 22:32,01-03-2024 03:32,Laptop,5,Maintenance,Planned,Presentation preparation for stakeholders,Reallocate resources,"[33, 78]"
136,Education,Presentation,25.377737,33.05104,26-09-2023 08:29,26-09-2023 11:29,Projector,10,Report,Ongoing,Presentation preparation for stakeholders,None,[]
137,Agriculture,Meeting,-81.816875,50.923344,27-07-2024 00:08,27-07-2024 05:08,Projector,10,Training,Planned,Meeting to discuss quarterly budget,Merge with task 124,"[75, 78, 124]"
138,Agriculture,Maintenance,-8.362056,67.900886,09-09-2024 23:58,10-09-2024 02:58,Printer,7,Training,Ongoing,Training on new software,None,"[37, 81]"
139,Finance,Maintenance,85.567343,-132.924185,02-07-2024 18:48,03-07-2024 00:48,Scanner,9,Construction,Ongoing,Training on new software,Merge with task 32,"[32, 69, 116]"
140,Health,Maintenance,80.169281,131.098986,27-07-2024 18:04,28-07-2024 01:04,Projector,3,Administrative,Planned,Maintenance of office equipment,Reschedule task 41,[41]
141,Agriculture,Maintenance,-0.473351,-147.582326,19-08-2024 00:37,19-08-2024 07:37,Scanner,8,Maintenance,Completed,Presentation preparation for stakeholders,Reschedule task 73,"[13, 73]"
142,Agriculture,Presentation,-88.528067,-141.30105,16-02-2024 02:02,16-02-2024 05:02,Whiteboard,6,Training,Ongoing,Meeting to discuss quarterly budget,Reallocate resources,"[14, 50, 93]"
143,Finance,Report,0.765995,95.185481,14-07-2024 01:42,14-07-2024 06:42,Scanner,10,Construction,Completed,Meeting to discuss quarterly budget,None,"[96, 87, 94]"
144,Agriculture,Presentation,1.642053,0.028045,24-03-2024 22:23,24-03-2024 23:23,Laptop,3,Administrative,Ongoing,Presentation preparation for stakeholders,Reschedule task 36,"[39, 132, 36]"
145,Education,Training,-19.268174,41.940175,18-02-2024 05:59,18-02-2024 10:59,Scanner,6,Report,Planned,Presentation preparation for stakeholders,Reschedule task 5,"[77, 122, 5]"
146,Education,Report,15.066386,106.831733,15-07-2024 18:13,15-07-2024 19:13,Scanner,8,Administrative,Planned,Presentation preparation for stakeholders,Reallocate resources,[14]
147,Transport,Presentation,23.224543,43.10489,20-10-2023 08:53,20-10-2023 15:53,Projector,4,Construction,Planned,Meeting to discuss quarterly budget,Reschedule task 5,[5]
148,Transport,Report,34.290047,-32.264133,17-02-2024 09:00,17-02-2024 17:00,Laptop,3,Report,Completed,Presentation preparation for stakeholders,Reschedule task 123,"[123, 135]"
149,Finance,Presentation,-28.381137,-52.456684,06-04-2024 18:03,06-04-2024 23:03,Scanner,8,Maintenance,Completed,Maintenance of office equipment,None,"[58, 77]"
150,Transport,Report,-32.932666,-54.430857,01-01-2024 21:29,02-01-2024 02:29,Whiteboard,2,Report,Planned,Presentation preparation for stakeholders,Merge with task 89,"[102, 89, 38]"
151,Transport,Maintenance,76.321734,56.149938,06-05-2024 00:12,06-05-2024 08:12,Projector,4,Report,Ongoing,Presentation preparation for stakeholders,Reallocate resources,"[36, 28]"
152,Education,Training,-46.357553,61.140227,22-11-2023 15:46,22-11-2023 19:46,Projector,1,Construction,Ongoing,Maintenance of office equipment,None,"[26, 36, 2]"
153,Finance,Report,27.520704,137.033085,06-01-2024 16:13,07-01-2024 00:13,Printer,4,Administrative,Ongoing,Maintenance of office equipment,None,[]
154,Health,Presentation,-48.200364,85.927148,21-08-2024 09:28,21-08-2024 10:28,Projector,7,Maintenance,Completed,Report generation for annual review,Merge with task 10,"[48, 75, 10]"
155,Health,Meeting,77.121872,-59.384839,16-03-2024 07:38,16-03-2024 15:38,Scanner,9,Training,Completed,Presentation preparation for stakeholders,Reschedule task 29,"[70, 50, 29]"
156,Education,Maintenance,39.347671,-174.92969,09-09-2024 09:57,09-09-2024 15:57,Whiteboard,10,Maintenance,Completed,Presentation preparation for stakeholders,Merge with task 84,"[110, 132, 84]"
157,Education,Training,86.703335,-8.116525,17-05-2024 10:03,17-05-2024 14:03,Laptop,5,Training,Completed,Report generation for annual review,Reallocate resources,"[85, 78]"
158,Transport,Meeting,-42.920433,-50.561247,25-03-2024 01:00,25-03-2024 05:00,Laptop,2,Training,Ongoing,Training on new software,Reallocate resources,"[129, 80, 31]"
159,Education,Maintenance,20.632581,-101.113704,30-11-2023 00:17,30-11-2023 03:17,Printer,3,Training,Planned,Presentation preparation for stakeholders,None,"[107, 141]"
160,Transport,Training,47.134732,64.923091,23-03-2024 08:32,23-03-2024 10:32,Scanner,8,Report,Planned,Maintenance of office equipment,None,[]
161,Agriculture,Meeting,-78.883551,17.15373,09-03-2024 15:15,09-03-2024 19:15,Scanner,9,Maintenance,Completed,Maintenance of office equipment,Reschedule task 150,"[30, 53, 150]"
162,Education,Meeting,-8.382186,4.769224,16-01-2024 12:50,16-01-2024 20:50,Scanner,1,Report,Ongoing,Maintenance of office equipment,None,[]
163,Finance,Maintenance,56.961581,88.489614,03-07-2024 04:07,03-07-2024 06:07,Laptop,7,Administrative,Planned,Meeting to discuss quarterly budget,None,[]
164,Agriculture,Report,-84.287723,-32.807903,27-10-2023 08:29,27-10-2023 11:29,Printer,6,Training,Ongoing,Report generation for annual review,Reallocate resources,"[21, 139, 35]"
165,Transport,Meeting,-57.874747,13.413055,29-09-2023 06:26,29-09-2023 09:26,Projector,1,Construction,Ongoing,Report generation for annual review,Merge with task 98,"[137, 98, 59]"
